7242,2842
5219,2746
6724,2261
5271,2545
4854,3016
7231,3484
7664,2226
8431,2554
8463,3369
7919,2261
7714,2432
6744,2683
5058,3073
7690,3282
6550,2024
6610,2698
7253,2745
6538,2702
5522,2982
5582,3221
5942,2350
5798,2484
5252,3131
4567,1276
5666,2759
5697,1931
5013,2960
5571,2789
7793,3429
4361,3198
6039,2726
7369,2424
8163,2359
6083,2120
5096,2947
5312,2782
6389,3041
6332,2902
7731,2816
6298,2104
5531,1845
5577,2768
6060,3022
6432,3105
5142,2719
6933,3065
4913,2927
5022,2885
5839,3211
4942,2985
6232,2668
5817,2747
8176,3182
9287,4028
10769,1363
8422,2579
7907,4315
5021,3202
5732,2921
8511,3399
8394,2665
6324,2878
3644,3290
6026,2101
6073,2973
6056,2891
8501,3105
6177,2976
5039,2854
8113,3293
8095,2260
8270,2378
5642,2095
5414,3056
6753,2091
4937,2970
5782,2971
6687,3239
8029,3013
5362,2981
5118,2814
6094,2771
6589,2056
5842,2722
6156,2920
10357,4229
6171,3342
6712,2179
5293,2714
5603,2216
5693,2408
5485,3014
7736,2848
6725,2604
8476,3145
6534,2701
6097,2771
6530,2562
6632,2498
6049,2623
6231,2231
5632,2838
6322,3096
8458,2610
5599,2349
7955,2499
6681,3009
7513,2454
6520,2248
5796,3012
7372,3604
6762,2514
6719,3448
8223,2444
8380,2622
8326,3220
5490,3208
5709,2658
4303,5701
5551,2980
7743,2311
6477,2247
7132,3045
8448,2616
11011,1518
7715,2779
5790,2758
5830,2331
6141,2100
6467,2874
7390,3095
5982,2399
5664,2312
6963,3234
6221,2428
6502,2078
11428,4456
8170,2352
8275,2539
8278,2731
7769,2962
5913,2922
5644,2867
6999,3332
5216,2805
5125,2814
5113,2813
5015,2909
4907,2907
5470,2984
7650,3456
5096,2835
4469,3186
7775,3178
6498,2309
5640,2649
5572,2839
6805,2033
5193,2760
5702,1888
5292,3055
4552,3131
5058,2844
8104,2356
6065,2952
5243,2849
5451,2487
5127,2809
6149,2797
5527,2794
6068,2942
7228,2643
6660,2936
7319,2465
5060,2933
5712,1918
5108,3156
5523,2575
4752,3095
5433,2471
7357,2194
8579,2819
6146,2752
5622,3355
5030,2870
5996,2498
5081,2836
5261,2974
5738,2924
6498,4058
6223,2069
6729,1920
6875,1900
6190,2811
6446,2571
6890,2242
6628,2850
6363,3228
6506,3148
7843,3701
5124,2827
6315,2180
5835,2705
4934,2889
6522,2445
5661,2414
6553,2747
5622,2819
5800,3000
6035,2873
5885,2924
7242,2683
6380,2936
4961,2920
10907,1472
6490,2065
4953,3139
7036,2433
5513,2492
5734,2761
5463,2979
5533,2910
5773,2878
7741,3219
5272,2766
5882,2841
5778,2269
4932,3371
5385,2364
5598,2018
4597,3169
6364,3232
5271,2545
8275,2706
9013,3750
4917,2950
5842,2952
4388,3101
5544,2494
5650,1696
4927,2945
5014,3058
5546,3009
6376,2400
6688,2265
5091,2952
5273,2783
6121,2562
5919,2968
5057,2818
6081,3076
5997,2316
8528,3361
10206,4480
5972,2555
8452,3289
8504,3043
5585,2434
7878,3531
5837,2624
6193,2750
5108,2958
5517,3001
5246,2787
7496,3163
5811,2815
4821,3061
5962,2236
7500,2699
5164,2778
5823,2103
4889,2976
7037,2320
5899,2777
5785,2920
9613,4425
6906,3448
6264,2936
5554,3002
4909,2926
6910,2608
5622,1971
4149,3189
5341,3053
5245,2908
6679,2819
5959,2880
5704,2459
5322,2687
8448,2612
5925,2643
5831,2919
5028,2878
4916,2881
5872,2242
6737,2450
5198,2978
5522,2264
5541,1780
5352,2594
5612,2968
9332,4194
5450,2963
5688,2048
6379,2691
5953,2747
6155,2098
6002,2792
6444,3107
7293,3477
8460,3264
5894,2421
